test,seed,effective_seed,status,comparisons,mismatches,uvm_errors,uvm_fatals,assertion_failures,functional_coverage_percent,model_checks
bmu_model_self_test,1,1,PASS,,,0,0,0,,865
bmu_or_valid_test,1,1,PASS,1,0,0,0,0,11.29,
bmu_timing_reset_test,1,1,PASS,17,0,0,0,0,23.21,
bmu_nominal_directed_test,1,1,FAIL,19,7,7,0,0,52.66,
bmu_error_directed_test,1,1,FAIL,12,7,7,0,7,7.83,
bmu_gap_checks_test,1,1,FAIL,172,41,41,0,7,45.04,
bmu_guard_matrix_test,1,1,FAIL,1451,1215,1215,0,468,54.88,
bmu_coverage_closure_test,4,4,FAIL,5036,1548,1548,0,513,100.00,
bmu_legal_random_test,101,101,FAIL,101,32,32,0,0,63.57,
bmu_legal_random_test,102,102,FAIL,101,34,34,0,0,61.98,
bmu_legal_random_test,103,103,FAIL,101,35,35,0,0,65.80,
bmu_corner_random_test,201,201,FAIL,101,14,14,0,0,69.44,
bmu_corner_random_test,202,202,FAIL,101,24,24,0,0,64.55,
bmu_corner_random_test,203,203,FAIL,101,21,21,0,0,70.26,
bmu_error_random_test,301,301,FAIL,101,81,81,0,81,9.83,
bmu_error_random_test,302,302,FAIL,101,81,81,0,81,9.83,
bmu_error_random_test,303,303,FAIL,101,82,82,0,82,9.83,
bmu_bug_001_test,1,1,FAIL,2,1,1,0,0,10.47,
bmu_bug_002_test,1,1,FAIL,2,1,1,0,0,8.29,
bmu_bug_003_test,1,1,FAIL,3,2,2,0,0,10.96,
bmu_bug_005_test,1,1,FAIL,2,1,1,0,0,8.42,
bmu_bug_006_test,1,1,FAIL,2,1,1,0,1,7.45,
bmu_bug_007_test,1,1,FAIL,3,2,2,0,2,7.90,
bmu_bug_008_test,1,1,FAIL,2,1,1,0,1,7.58,
bmu_bug_009_test,1,1,FAIL,2,1,1,0,0,10.47,
bmu_bug_010_test,1,1,FAIL,2,1,1,0,0,10.62,
